sin_cambio,urbanizacion,ganancia_veg,mean,count,sum,perdida_veg,5,4,zona,urbanizacion_pct,perdida_veg_pct,ganancia_veg_pct,urbanizacion_ha,perdida_veg_ha,ganancia_veg_ha
35,2.0,,0.05405405405405406,37,2.0,,,,13106081005025,5.405405405405405,,,0.02,,
22,1.0,,0.043478260869565216,23,1.0,,,,13106081005020,4.3478260869565215,,,0.01,,
58,1.0,1.0,0.06666666666666667,60,4.0,,,,13106101001004,1.6666666666666667,,1.6666666666666667,0.01,,0.01
32,,2.0,0.17647058823529413,34,6.0,,,,13106051001025,,,5.882352941176471,,,0.02
35,,,0.0,35,0.0,,,,13106051001026,,,,,,
36,5.0,,0.12195121951219512,41,5.0,,,,13106091002025,12.195121951219512,,,0.05,,
17,,,0.1111111111111111,18,2.0,1.0,,,13106051001017,,5.555555555555555,,,0.01,
35,3.0,,0.2619047619047619,42,11.0,4.0,,,13106091002026,7.142857142857143,9.523809523809524,,0.03,0.04,
31,,1.0,0.3055555555555556,36,11.0,4.0,,,13106081005018,,11.11111111111111,2.7777777777777777,,0.04,0.01
30,2.0,4.0,0.47368421052631576,38,18.0,2.0,,,13106081005026,5.2631578947368425,5.2631578947368425,10.526315789473685,0.02,0.02,0.04
12,,,0.0,12,0.0,,,,13106051001018,,,,,,
12,,,0.0,12,0.0,,,,13106051001004,,,,,,
11,,,0.0,11,0.0,,,,13106051001005,,,,,,
12,,1.0,0.5625,16,9.0,3.0,,,13106051001006,,18.75,6.25,,0.03,0.01
35,2.0,,0.05405405405405406,37,2.0,,,,13106081005017,5.405405405405405,,,0.02,,
205,24.0,29.0,0.8461538461538461,351,297.0,93.0,,,13106091001024,6.837606837606837,26.495726495726494,8.262108262108262,0.24,0.93,0.29
1552,132.0,45.0,0.46733909702209414,2082,973.0,353.0,,,13106051002500,6.340057636887608,16.95485110470701,2.161383285302594,1.32,3.5300000000000002,0.45
26,2.0,,0.25806451612903225,31,8.0,3.0,,,13106081005013,6.451612903225806,9.67741935483871,,0.02,0.03,
61,,1.0,0.04838709677419355,62,3.0,,,,13106091002010,,,1.6129032258064515,,,0.01
57,,,0.0,57,0.0,,,,13106091002011,,,,,,
31,1.0,,0.14705882352941177,34,5.0,2.0,,,13106051001028,2.9411764705882355,5.882352941176471,,0.01,0.02,
50,,,0.07692307692307693,52,4.0,2.0,,,13106091002012,,3.8461538461538463,,,0.02,
22,1.0,,0.125,24,3.0,1.0,,,13106051001016,4.166666666666667,4.166666666666667,,0.01,0.01,
15,2.0,2.0,0.75,24,18.0,5.0,,,13106051001015,8.333333333333334,20.833333333333332,8.333333333333334,0.02,0.05,0.02
32,3.0,,0.1891891891891892,37,7.0,2.0,,,13106081005011,8.108108108108109,5.405405405405405,,0.03,0.02,
25,3.0,,0.10714285714285714,28,3.0,,,,13106051001014,10.714285714285714,,,0.03,,
47,1.0,,0.17307692307692307,52,9.0,4.0,,,13106091001025,1.9230769230769231,7.6923076923076925,,0.01,0.04,
34,4.0,1.0,0.225,40,9.0,1.0,,,13106051001027,10.0,2.5,2.5,0.04,0.01,0.01
21,3.0,1.0,0.24,25,6.0,,,,13106051001013,12.0,,4.0,0.03,,0.01
21,3.0,,0.125,24,3.0,,,,13106081005031,12.5,,,0.03,,
27,,,0.0,27,0.0,,,,13106051001011,,,,,,
25,,1.0,0.18518518518518517,27,5.0,1.0,,,13106051001010,,3.7037037037037037,3.7037037037037037,,0.01,0.01
140,3.0,29.0,0.5232558139534884,172,90.0,,,,13106101001025,1.744186046511628,,16.86046511627907,0.03,,0.29
33,,,0.16666666666666666,36,6.0,3.0,,,13106081005027,,8.333333333333334,,,0.03,
26,,1.0,0.1111111111111111,27,3.0,,,,13106051001008,,,3.7037037037037037,,,0.01
27,4.0,1.0,0.2727272727272727,33,9.0,1.0,,,13106051001007,12.121212121212121,3.0303030303030303,3.0303030303030303,0.04,0.01,0.01
43,1.0,1.0,0.34615384615384615,52,18.0,7.0,,,13106091001023,1.9230769230769231,13.461538461538462,1.9230769230769231,0.01,0.07,0.01
53,1.0,,0.15517241379310345,58,9.0,4.0,,,13106091001020,1.7241379310344827,6.896551724137931,,0.01,0.04,
454,2.0,11.0,0.17276422764227642,492,85.0,25.0,,,13106011001007,0.4065040650406504,5.08130081300813,2.2357723577235773,0.02,0.25,0.11
50,,,0.11320754716981132,53,6.0,3.0,,,13106091001019,,5.660377358490566,,,0.03,
60,2.0,2.0,0.125,64,8.0,,,,13106091001016,3.125,,3.125,0.02,,0.02
27,1.0,,0.10344827586206896,29,3.0,1.0,,,13106081005012,3.4482758620689653,3.4482758620689653,,0.01,0.01,
40,,2.0,0.14285714285714285,42,6.0,,,,13106051001029,,,4.761904761904762,,,0.02
476,15.0,26.0,0.231203007518797,532,123.0,15.0,,,13106011001006,2.819548872180451,2.819548872180451,4.887218045112782,0.15,0.15,0.26
17,4.0,,0.34782608695652173,23,8.0,2.0,,,13106081005029,17.391304347826086,8.695652173913043,,0.04,0.02,
40,,2.0,0.14285714285714285,42,6.0,,,,13106051001030,,,4.761904761904762,,,0.02
